word1;word2;human_score
canyon;landscape;0.753
image;surface;0.456
discovery;space;0.634
water;seepage;0.656
sign;recess;0.238
Wednesday;news;0.222
mile;kilometer;0.866
computer;news;0.447
territory;surface;0.534
atmosphere;landscape;0.369
president;medal;0.3
war;troops;0.813
record;number;0.631
skin;eye;0.622
Japanese;American;0.65
theater;history;0.391
volunteer;motto;0.256
prejudice;recognition;0.3
decoration;valor;0.563
century;year;0.759
century;nation;0.316
delay;racism;0.119
delay;news;0.331
minister;party;0.663
peace;plan;0.475
minority;peace;0.369
attempt;peace;0.425
government;crisis;0.656
deployment;departure;0.425
deployment;withdrawal;0.588
energy;crisis;0.594
announcement;news;0.756
announcement;effort;0.275
stroke;hospital;0.703
disability;death;0.547
victim;emergency;0.647
treatment;recovery;0.791
journal;association;0.497
doctor;personnel;0.5
doctor;liability;0.519
liability;insurance;0.703
school;center;0.344
reason;hypertension;0.231
reason;criterion;0.591
hundred;percent;0.738
Harvard;Yale;0.813
hospital;infrastructure;0.463
death;row;0.525
death;inmate;0.503
lawyer;evidence;0.669
life;death;0.788
life;term;0.45
word;similarity;0.475
board;recommendation;0.447
governor;interview;0.325
OPEC;country;0.563
peace;atmosphere;0.369
peace;insurance;0.294
territory;kilometer;0.528
travel;activity;0.5
competition;price;0.644
consumer;confidence;0.413
consumer;energy;0.475
problem;airport;0.238
car;flight;0.494
credit;card;0.806
credit;information;0.531
hotel;reservation;0.803
grocery;money;0.594
registration;arrangement;0.6
arrangement;accommodation;0.541
month;hotel;0.181
type;kind;0.897
arrival;hotel;0.6
bed;closet;0.672
closet;clothes;0.8
situation;conclusion;0.481
situation;isolation;0.388
impartiality;interest;0.516
direction;combination;0.225
street;place;0.644
street;avenue;0.888
street;block;0.688
street;children;0.494
listing;proximity;0.256
listing;category;0.638
cell;phone;0.781
production;hike;0.175
benchmark;index;0.425
media;trading;0.388
media;gain;0.288
dividend;payment;0.763
dividend;calculation;0.648
calculation;computation;0.844
currency;market;0.75
OPEC;oil;0.859
oil;stock;0.634
announcement;production;0.338
announcement;warning;0.6
profit;warning;0.388
profit;loss;0.763
dollar;yen;0.778
dollar;buck;0.922
dollar;profit;0.738
dollar;loss;0.609
computer;software;0.85
network;hardware;0.831
phone;equipment;0.713
equipment;maker;0.591
luxury;car;0.647
five;month;0.338
report;gain;0.363
investor;earning;0.713
liquid;water;0.789
baseball;season;0.597
game;victory;0.703
game;team;0.769
marathon;sprint;0.747
game;series;0.619
game;defeat;0.697
seven;series;0.356
seafood;sea;0.747
seafood;food;0.834
seafood;lobster;0.87
lobster;food;0.781
lobster;wine;0.57
food;preparation;0.622
video;archive;0.634
start;year;0.406
start;match;0.447
game;round;0.597
boxing;round;0.761
championship;tournament;0.836
fighting;defeating;0.741
line;insurance;0.269
day;summer;0.394
summer;drought;0.716
summer;nature;0.563
day;dawn;0.753
nature;environment;0.831
environment;ecology;0.881
nature;man;0.625
man;woman;0.83
man;governor;0.525
murder;manslaughter;0.853
soap;opera;0.794
opera;performance;0.688
life;lesson;0.594
focus;life;0.406
production;crew;0.625
television;film;0.772
lover;quarrel;0.619
viewer;serial;0.297
possibility;girl;0.194
population;development;0.375
morality;importance;0.331
morality;marriage;0.369
Mexico;Brazil;0.744
gender;equality;0.641
change;attitude;0.544
family;planning;0.625
opera;industry;0.263
sugar;approach;0.088
practice;institution;0.319
ministry;culture;0.469
problem;challenge;0.675
size;prominence;0.531
country;citizen;0.731
planet;people;0.575
development;issue;0.397
experience;music;0.347
music;project;0.363
glass;metal;0.556
aluminum;metal;0.783
chance;credibility;0.388
exhibit;memorabilia;0.531
concert;virtuoso;0.681
rock;jazz;0.759
museum;theater;0.719
observation;architecture;0.438
space;world;0.653
preservation;world;0.619
admission;ticket;0.769
shower;thunderstorm;0.631
shower;flood;0.603
weather;forecast;0.834
disaster;area;0.625
governor;office;0.634
architecture;century;0.378
